iter	Passed	Remaining
0	179	178866
1	182	90887
2	184	61479
3	187	46733
4	190	37990
5	193	32052
6	196	27844
7	199	24745
8	202	22304
9	206	20413
10	209	18833
11	212	17482
12	215	16358
13	218	15383
14	221	14546
15	225	13840
16	227	13174
17	231	12609
18	234	12086
19	235	11520
20	238	11098
21	241	10714
22	244	10367
23	246	10040
24	250	9763
25	253	9500
26	256	9242
27	259	8997
28	261	8758
29	264	8548
30	266	8342
31	269	8158
32	272	7981
33	274	7809
34	277	7654
35	280	7505
36	284	7393
37	286	7258
38	290	7146
39	292	7025
40	295	6902
41	298	6798
42	300	6684
43	303	6588
44	305	6492
45	308	6395
46	311	6312
47	313	6222
48	316	6146
49	319	6070
50	321	5990
51	325	5926
52	327	5850
53	330	5786
54	332	5715
55	335	5648
56	338	5596
57	340	5530
58	342	5468
59	345	5419
60	348	5363
61	351	5320
62	354	5271
63	357	5226
64	359	5175
65	362	5127
66	365	5085
67	367	5039
68	370	4998
69	372	4955
70	375	4915
71	378	4872
72	380	4833
73	383	4802
74	386	4763
75	388	4727
76	391	4692
77	394	4657
78	397	4638
79	400	4603
80	402	4568
81	405	4541
82	408	4508
83	410	4478
84	413	4445
85	415	4415
86	418	4393
87	421	4365
88	423	4335
89	425	4306
90	428	4278
91	430	4252
92	433	4225
93	435	4201
94	438	4179
95	441	4155
96	444	4138
97	447	4114
98	449	4093
99	453	4079
100	455	4055
101	459	4041
102	461	4017
103	463	3995
104	466	3975
105	468	3955
106	472	3943
107	474	3922
108	477	3906
109	480	3887
110	482	3867
111	486	3853
112	488	3835
113	491	3822
114	494	3801
115	496	3782
116	499	3771
117	502	3755
118	505	3742
119	507	3724
120	510	3710
121	513	3696
122	516	3680
123	519	3671
124	522	3656
125	525	3647
126	528	3631
127	531	3618
128	533	3603
129	536	3589
130	538	3574
131	541	3560
132	544	3546
133	546	3530
134	549	3518
135	552	3508
136	554	3494
137	557	3484
138	560	3470
139	563	3461
140	565	3447
141	567	3431
142	571	3423
143	573	3410
144	576	3400
145	579	3387
146	581	3374
147	584	3366
148	587	3354
149	590	3345
150	592	3332
151	595	3320
152	598	3315
153	601	3304
154	605	3298
155	607	3286
156	610	3276
157	612	3265
158	615	3254
159	618	3247
160	621	3236
161	624	3231
162	627	3219
163	629	3209
164	632	3202
165	635	3191
166	637	3181
167	640	3170
168	642	3159
169	644	3148
170	647	3137
171	650	3130
172	652	3120
173	655	3111
174	657	3101
175	660	3092
176	662	3081
177	665	3072
178	667	3062
179	670	3055
180	673	3046
181	676	3038
182	679	3031
183	682	3025
184	685	3019
185	687	3010
186	691	3004
187	693	2994
188	695	2985
189	698	2978
190	701	2970
191	703	2962
192	706	2953
193	708	2945
194	711	2937
195	714	2929
196	717	2922
197	719	2916
198	722	2909
199	725	2903
200	728	2896
201	731	2891
202	734	2882
203	737	2877
204	740	2869
205	742	2862
206	745	2856
207	748	2848
208	751	2844
209	754	2838
210	757	2832
211	760	2826
212	763	2820
213	765	2812
214	768	2804
215	771	2799
216	773	2790
217	775	2783
218	778	2776
219	781	2770
220	783	2762
221	786	2755
222	788	2747
223	792	2744
224	795	2738
225	798	2735
226	801	2729
227	805	2725
228	807	2720
229	811	2716
230	813	2709
231	816	2704
232	819	2698
233	822	2691
234	825	2686
235	827	2679
236	830	2673
237	832	2666
238	834	2658
239	837	2652
240	840	2646
241	842	2639
242	845	2634
243	847	2627
244	850	2622
245	853	2616
246	856	2610
247	858	2603
248	861	2597
249	864	2593
250	866	2586
251	869	2579
252	872	2574
253	874	2569
254	877	2562
255	880	2557
256	882	2551
257	885	2546
258	887	2539
259	890	2534
260	893	2528
261	895	2523
262	898	2518
263	901	2512
264	904	2507
265	906	2501
266	909	2495
267	912	2492
268	914	2486
269	917	2480
270	919	2474
271	925	2475
272	927	2470
273	930	2466
274	933	2460
275	935	2454
276	938	2449
277	940	2443
278	944	2440
279	947	2435
280	950	2433
281	953	2427
282	956	2424
283	959	2418
284	961	2412
285	964	2407
286	966	2401
287	970	2398
288	972	2393
289	976	2391
290	979	2386
291	982	2382
292	985	2377
293	988	2374
294	991	2368
295	993	2363
296	996	2359
297	998	2353
298	1001	2347
299	1004	2344
300	1011	2347
301	1017	2351
302	1023	2353
303	1029	2357
304	1036	2361
305	1042	2365
306	1049	2368
307	1054	2369
308	1060	2370
309	1066	2373
310	1071	2374
311	1078	2377
312	1083	2379
313	1090	2381
314	1096	2383
315	1102	2386
316	1109	2390
317	1115	2393
318	1123	2397
319	1130	2401
320	1137	2405
321	1143	2408
322	1151	2413
323	1158	2417
324	1164	2418
325	1171	2421
326	1177	2423
327	1183	2424
328	1189	2426
329	1195	2427
330	1202	2430
331	1209	2432
332	1214	2433
333	1220	2434
334	1226	2435
335	1232	2436
336	1239	2438
337	1246	2441
338	1254	2445
339	1260	2447
340	1266	2448
341	1273	2449
342	1281	2454
343	1288	2457
344	1295	2459
345	1302	2461
346	1309	2463
347	1315	2464
348	1321	2465
349	1327	2466
350	1334	2467
351	1340	2468
352	1346	2468
353	1352	2468
354	1358	2468
355	1364	2469
356	1370	2468
357	1376	2468
358	1382	2468
359	1389	2469
360	1394	2469
361	1400	2468
362	1406	2467
363	1411	2466
364	1418	2467
365	1423	2465
366	1428	2463
367	1433	2462
368	1439	2461
369	1444	2459
370	1449	2457
371	1455	2456
372	1461	2457
373	1467	2456
374	1473	2455
375	1481	2458
376	1486	2456
377	1493	2457
378	1499	2457
379	1506	2457
380	1511	2455
381	1516	2454
382	1523	2454
383	1530	2454
384	1536	2454
385	1542	2453
386	1549	2453
387	1555	2453
388	1561	2453
389	1568	2452
390	1573	2451
391	1580	2450
392	1586	2450
393	1592	2449
394	1599	2449
395	1605	2449
396	1612	2448
397	1618	2448
398	1625	2448
399	1632	2448
400	1638	2447
401	1645	2448
402	1653	2448
403	1660	2449
404	1666	2448
405	1673	2447
406	1679	2446
407	1685	2445
408	1692	2445
409	1698	2444
410	1704	2442
411	1710	2441
412	1717	2440
413	1723	2439
414	1729	2437
415	1735	2436
416	1741	2435
417	1748	2434
418	1754	2432
419	1759	2430
420	1764	2427
421	1771	2426
422	1777	2424
423	1783	2423
424	1790	2421
425	1795	2419
426	1801	2417
427	1807	2415
428	1813	2413
429	1818	2410
430	1825	2409
431	1831	2408
432	1838	2407
433	1844	2405
434	1850	2403
435	1856	2401
436	1862	2398
437	1867	2396
438	1872	2392
439	1877	2389
440	1882	2386
441	1888	2384
442	1893	2380
443	1899	2378
444	1905	2376
445	1911	2374
446	1916	2371
447	1922	2369
448	1929	2368
449	1935	2365
450	1941	2363
451	1946	2359
452	1952	2357
453	1958	2355
454	1964	2353
455	1971	2351
456	1977	2349
457	1984	2347
458	1989	2345
459	1995	2342
460	2002	2340
461	2008	2338
462	2015	2337
463	2021	2335
464	2027	2332
465	2033	2330
466	2039	2328
467	2046	2326
468	2053	2324
469	2059	2322
470	2065	2320
471	2072	2318
472	2078	2315
473	2084	2313
474	2091	2312
475	2098	2309
476	2104	2307
477	2110	2305
478	2118	2304
479	2125	2302
480	2132	2300
481	2139	2298
482	2146	2297
483	2152	2295
484	2158	2292
485	2164	2289
486	2171	2286
487	2176	2283
488	2181	2279
489	2186	2276
490	2192	2273
491	2199	2270
492	2205	2267
493	2211	2265
494	2216	2261
495	2222	2258
496	2227	2254
497	2233	2251
498	2239	2248
499	2245	2245
500	2251	2242
501	2258	2240
502	2264	2237
503	2271	2235
504	2277	2232
505	2284	2230
506	2290	2226
507	2296	2224
508	2303	2222
509	2309	2219
510	2316	2216
511	2322	2213
512	2329	2211
513	2336	2209
514	2343	2207
515	2349	2204
516	2356	2201
517	2363	2198
518	2369	2196
519	2376	2193
520	2381	2189
521	2388	2187
522	2395	2184
523	2402	2181
524	2408	2179
525	2414	2176
526	2421	2173
527	2427	2170
528	2434	2167
529	2441	2164
530	2447	2161
531	2453	2158
532	2459	2154
533	2465	2151
534	2471	2148
535	2478	2145
536	2485	2142
537	2492	2140
538	2498	2137
539	2505	2134
540	2512	2131
541	2518	2128
542	2526	2126
543	2533	2123
544	2540	2120
545	2546	2117
546	2553	2114
547	2560	2111
548	2566	2108
549	2572	2104
550	2578	2101
551	2584	2097
552	2591	2094
553	2598	2091
554	2604	2088
555	2610	2084
556	2616	2081
557	2623	2077
558	2629	2074
559	2635	2070
560	2641	2067
561	2648	2063
562	2654	2060
563	2660	2057
564	2668	2054
565	2675	2051
566	2682	2048
567	2688	2045
568	2695	2041
569	2701	2037
570	2708	2034
571	2715	2031
572	2721	2028
573	2728	2025
574	2734	2021
575	2741	2017
576	2748	2014
577	2754	2011
578	2760	2007
579	2767	2003
580	2774	2000
581	2780	1996
582	2786	1993
583	2793	1989
584	2799	1986
